[I 2024-06-24 23:57:30,343] A new study created in memory with name: no-name-d7a964a8-caf7-418c-a13e-6fe94b8a5938
Trial 0 finished with value: 0.3261538461538462 and parameters: {'C': 0.0016118685050155554, 'kernel': 'sigmoid', 'degree': 4, 'gamma': 'auto', 'coef0': 4.261656031281857, 'chi2_k': 1120}. Best is trial 0 with value: 0.3261538461538462.
Trial 114 finished with value: 0.6523809523809523 and parameters: {'C': 16.940491981648428, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.0295105089783, 'chi2_k': 2234}. Best is trial 56 with value: 0.7074636834196026.
Trial 115 finished with value: 0.3261538461538462 and parameters: {'C': 0.0011143888286101584, 'kernel': 'sigmoid', 'degree': 4, 'gamma': 'scale', 'coef0': 9.989755650669279, 'chi2_k': 2351}. Best is trial 56 with value: 0.7074636834196026.
Trial 116 finished with value: 0.6666666666666667 and parameters: {'C': 0.22779481640884097, 'kernel': 'linear', 'degree': 2, 'gamma': 'scale', 'coef0': 9.641570377502656, 'chi2_k': 2457}. Best is trial 56 with value: 0.7074636834196026.
Trial 117 finished with value: 0.674660441426146 and parameters: {'C': 0.6066692952333557, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.386530925670506, 'chi2_k': 2403}. Best is trial 56 with value: 0.7074636834196026.
Trial 118 finished with value: 0.6711711711711712 and parameters: {'C': 2.546857650279729, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.822093042900168, 'chi2_k': 2181}. Best is trial 56 with value: 0.7074636834196026.
Trial 119 finished with value: 0.5836150076052053 and parameters: {'C': 4.752970827085111, 'kernel': 'poly', 'degree': 5, 'gamma': 'scale', 'coef0': 8.615052480845758, 'chi2_k': 2120}. Best is trial 56 with value: 0.7074636834196026.
Trial 120 finished with value: 0.6748227617792837 and parameters: {'C': 1.2785512937700645, 'kernel': 'rbf', 'degree': 3, 'gamma': 'scale', 'coef0': 8.923499122151826, 'chi2_k': 2300}. Best is trial 56 with value: 0.7074636834196026.
Trial 121 finished with value: 0.6643995213804397 and parameters: {'C': 0.9484549478200642, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.749043182121431, 'chi2_k': 1514}. Best is trial 56 with value: 0.7074636834196026.
Trial 122 finished with value: 0.6803053053053052 and parameters: {'C': 1.85543204613024, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.588762817323556, 'chi2_k': 2223}. Best is trial 56 with value: 0.7074636834196026.
Trial 123 finished with value: 0.651332327802916 and parameters: {'C': 7.196179061434591, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.17231728634787, 'chi2_k': 1215}. Best is trial 56 with value: 0.7074636834196026.
Trial 124 finished with value: 0.6894394394394394 and parameters: {'C': 3.989823861496972, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.405184820165793, 'chi2_k': 2339}. Best is trial 56 with value: 0.7074636834196026.
Trial 125 finished with value: 0.6894394394394394 and parameters: {'C': 3.784887170906958, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.348732484951679, 'chi2_k': 2276}. Best is trial 56 with value: 0.7074636834196026.
Trial 126 finished with value: 0.5713191489361702 and parameters: {'C': 3.643933454131969, 'kernel': 'linear', 'degree': 4, 'gamma': 'scale', 'coef0': 9.355425989833241, 'chi2_k': 2266}. Best is trial 56 with value: 0.7074636834196026.
Trial 127 finished with value: 0.4206349206349206 and parameters: {'C': 5.626551598788711, 'kernel': 'rbf', 'degree': 4, 'gamma': 'auto', 'coef0': 8.313390508241534, 'chi2_k': 2434}. Best is trial 56 with value: 0.7074636834196026.
Trial 128 finished with value: 0.6662212664676285 and parameters: {'C': 10.721210120143423, 'kernel': 'rbf', 'degree': 2, 'gamma': 'scale', 'coef0': 5.271523058548801, 'chi2_k': 2361}. Best is trial 56 with value: 0.7074636834196026.
Trial 129 finished with value: 0.6570766436311252 and parameters: {'C': 19.272752552221707, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 8.86512458471705, 'chi2_k': 2315}. Best is trial 56 with value: 0.7074636834196026.
Trial 130 finished with value: 0.6575342465753424 and parameters: {'C': 4.532433317405687, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 1.5647789068257039, 'chi2_k': 2506}. Best is trial 56 with value: 0.7074636834196026.
Trial 131 finished with value: 0.6801985981308412 and parameters: {'C': 2.905435546299488, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.499698122171532, 'chi2_k': 2182}. Best is trial 56 with value: 0.7074636834196026.
Trial 132 finished with value: 0.6803586321934946 and parameters: {'C': 2.316213451718156, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.13722065609955, 'chi2_k': 2256}. Best is trial 56 with value: 0.7074636834196026.
Trial 133 finished with value: 0.6984729639519359 and parameters: {'C': 6.853480441118464, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.995952755957154, 'chi2_k': 2135}. Best is trial 56 with value: 0.7074636834196026.
Trial 134 finished with value: 0.6984729639519359 and parameters: {'C': 7.275889016129583, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 9.28131948191308, 'chi2_k': 2130}. Best is trial 56 with value: 0.7074636834196026.
Trial 135 finished with value: 0.6984729639519359 and parameters: {'C': 8.113187319456987, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.485618506612515, 'chi2_k': 2125}. Best is trial 56 with value: 0.7074636834196026.
Trial 136 finished with value: 0.5631154499151104 and parameters: {'C': 14.812563324676399, 'kernel': 'linear', 'degree': 4, 'gamma': 'scale', 'coef0': 4.8318489950432815, 'chi2_k': 2124}. Best is trial 56 with value: 0.7074636834196026.
Trial 137 finished with value: 0.6983219235264653 and parameters: {'C': 8.87187133893403, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.872882773961717, 'chi2_k': 2077}. Best is trial 56 with value: 0.7074636834196026.
Trial 138 finished with value: 0.6938341158059468 and parameters: {'C': 9.321310753545191, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 7.4752164284153, 'chi2_k': 2063}. Best is trial 56 with value: 0.7074636834196026.
Trial 139 finished with value: 0.3261538461538462 and parameters: {'C': 10.07483240991614, 'kernel': 'sigmoid', 'degree': 4, 'gamma': 'scale', 'coef0': 7.164636969820086, 'chi2_k': 2074}. Best is trial 56 with value: 0.7074636834196026.
Trial 140 finished with value: 0.6425761633746234 and parameters: {'C': 23.319981108121265, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.621119309359982, 'chi2_k': 2035}. Best is trial 56 with value: 0.7074636834196026.
Trial 141 finished with value: 0.7076101468624834 and parameters: {'C': 8.47271111011792, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.342276287023357, 'chi2_k': 2130}. Best is trial 141 with value: 0.7076101468624834.
Trial 142 finished with value: 0.7030972989884243 and parameters: {'C': 7.731220554920496, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.288561980716633, 'chi2_k': 2151}. Best is trial 141 with value: 0.7076101468624834.
Trial 143 finished with value: 0.6479320207946218 and parameters: {'C': 12.746823171615079, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.235677678178783, 'chi2_k': 2094}. Best is trial 141 with value: 0.7076101468624834.
Trial 144 finished with value: 0.7029733959311424 and parameters: {'C': 8.97290303275829, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.8011606024468, 'chi2_k': 2147}. Best is trial 141 with value: 0.7076101468624834.
Trial 145 finished with value: 0.6938341158059468 and parameters: {'C': 7.399396739435878, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 5.945026817448024, 'chi2_k': 2138}. Best is trial 141 with value: 0.7076101468624834.
Trial 146 finished with value: 0.6337792642140468 and parameters: {'C': 31.6806922161929, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.778178187783267, 'chi2_k': 2011}. Best is trial 141 with value: 0.7076101468624834.
Trial 147 finished with value: 0.562 and parameters: {'C': 17.68047018043248, 'kernel': 'linear', 'degree': 4, 'gamma': 'scale', 'coef0': 6.468904187455942, 'chi2_k': 2065}. Best is trial 141 with value: 0.7076101468624834.
Trial 148 finished with value: 0.6984729639519359 and parameters: {'C': 9.413220258712206, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.044663269891488, 'chi2_k': 2154}. Best is trial 141 with value: 0.7076101468624834.
Trial 149 finished with value: 0.6429347826086955 and parameters: {'C': 14.084767317789774, 'kernel': 'rbf', 'degree': 2, 'gamma': 'scale', 'coef0': 7.036435092168396, 'chi2_k': 2175}. Best is trial 141 with value: 0.7076101468624834.
Trial 150 finished with value: 0.5981822836661548 and parameters: {'C': 5.830476463148563, 'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 5.708647905197104, 'chi2_k': 2138}. Best is trial 141 with value: 0.7076101468624834.
Trial 151 finished with value: 0.7029733959311424 and parameters: {'C': 8.568272393407776, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.367817779164352, 'chi2_k': 2103}. Best is trial 141 with value: 0.7076101468624834.
Trial 152 finished with value: 0.6983219235264653 and parameters: {'C': 8.985882636491683, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.003102894578558, 'chi2_k': 2100}. Best is trial 141 with value: 0.7076101468624834.
Trial 153 finished with value: 0.7029733959311424 and parameters: {'C': 9.650111872004583, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.529616078769009, 'chi2_k': 2106}. Best is trial 141 with value: 0.7076101468624834.
Trial 154 finished with value: 0.638515701719563 and parameters: {'C': 11.375165114252107, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.0537765599032625, 'chi2_k': 1963}. Best is trial 141 with value: 0.7076101468624834.
Trial 155 finished with value: 0.6983219235264653 and parameters: {'C': 8.723462682351473, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.417456583972951, 'chi2_k': 2101}. Best is trial 141 with value: 0.7076101468624834.
Trial 156 finished with value: 0.6983219235264653 and parameters: {'C': 9.09138977858954, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.827836802377208, 'chi2_k': 2099}. Best is trial 141 with value: 0.7076101468624834.
Trial 157 finished with value: 0.6983219235264653 and parameters: {'C': 9.136046135460903, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.4377743910528995, 'chi2_k': 2101}. Best is trial 141 with value: 0.7076101468624834.
Trial 158 finished with value: 0.6846948356807512 and parameters: {'C': 9.320039963429206, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.464709735922248, 'chi2_k': 2025}. Best is trial 141 with value: 0.7076101468624834.
Trial 159 finished with value: 0.6425761633746234 and parameters: {'C': 23.195057761374084, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.400829462997169, 'chi2_k': 2099}. Best is trial 141 with value: 0.7076101468624834.
Trial 160 finished with value: 0.638515701719563 and parameters: {'C': 14.31580258860275, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.854158572527788, 'chi2_k': 2146}. Best is trial 141 with value: 0.7076101468624834.
Trial 161 finished with value: 0.7076101468624834 and parameters: {'C': 8.493879126139898, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.120354335448241, 'chi2_k': 2117}. Best is trial 141 with value: 0.7076101468624834.
Trial 162 finished with value: 0.6938341158059468 and parameters: {'C': 8.220892124480912, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 5.6474804949694715, 'chi2_k': 2106}. Best is trial 141 with value: 0.7076101468624834.
Trial 163 finished with value: 0.656818704164142 and parameters: {'C': 11.5237686928382, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.140913287423242, 'chi2_k': 2053}. Best is trial 141 with value: 0.7076101468624834.
Trial 164 finished with value: 0.7074636834196026 and parameters: {'C': 8.656048805000754, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.629435188682212, 'chi2_k': 2161}. Best is trial 141 with value: 0.7076101468624834.
Trial 165 finished with value: 0.6523809523809523 and parameters: {'C': 16.4146070623857, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.668198388030442, 'chi2_k': 2159}. Best is trial 141 with value: 0.7076101468624834.
Trial 166 finished with value: 0.6803586321934946 and parameters: {'C': 5.8712837230256545, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 5.316413590098681, 'chi2_k': 1938}. Best is trial 141 with value: 0.7076101468624834.
Trial 167 finished with value: 0.6846948356807512 and parameters: {'C': 8.005126364605227, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 5.9567346595847495, 'chi2_k': 1998}. Best is trial 141 with value: 0.7076101468624834.
Trial 168 finished with value: 0.623300889410975 and parameters: {'C': 38.23606208345265, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.199356351599441, 'chi2_k': 2137}. Best is trial 141 with value: 0.7076101468624834.
Trial 169 finished with value: 0.6523809523809523 and parameters: {'C': 12.327093282409106, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.983665810718899, 'chi2_k': 2085}. Best is trial 141 with value: 0.7076101468624834.
Trial 170 finished with value: 0.6381830729656817 and parameters: {'C': 20.42736768030391, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 7.278616017289048, 'chi2_k': 2185}. Best is trial 141 with value: 0.7076101468624834.
Trial 171 finished with value: 0.7029733959311424 and parameters: {'C': 8.967099629553326, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.566801827936512, 'chi2_k': 2111}. Best is trial 141 with value: 0.7076101468624834.
Trial 172 finished with value: 0.6984729639519359 and parameters: {'C': 6.879299120443812, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.72992270939839, 'chi2_k': 2152}. Best is trial 141 with value: 0.7076101468624834.
Trial 173 finished with value: 0.6894912427022519 and parameters: {'C': 5.058525667153339, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.577802913654193, 'chi2_k': 2154}. Best is trial 141 with value: 0.7076101468624834.
Trial 174 finished with value: 0.6894912427022519 and parameters: {'C': 5.793114991820359, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.323744371975403, 'chi2_k': 2206}. Best is trial 141 with value: 0.7076101468624834.
Trial 175 finished with value: 0.6984729639519359 and parameters: {'C': 7.0503251914634335, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 5.9103839490064125, 'chi2_k': 2046}. Best is trial 141 with value: 0.7076101468624834.
Trial 176 finished with value: 0.6984729639519359 and parameters: {'C': 7.166853995538712, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 5.59100983765087, 'chi2_k': 2039}. Best is trial 141 with value: 0.7076101468624834.
Trial 177 finished with value: 0.6755555555555557 and parameters: {'C': 6.6708616459703745, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 5.575630200160546, 'chi2_k': 2022}. Best is trial 141 with value: 0.7076101468624834.
Trial 178 finished with value: 0.6479320207946218 and parameters: {'C': 12.438424743887074, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 5.858432611349333, 'chi2_k': 2048}. Best is trial 141 with value: 0.7076101468624834.
Trial 179 finished with value: 0.6803586321934946 and parameters: {'C': 4.481277608443328, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.191719879657914, 'chi2_k': 2167}. Best is trial 141 with value: 0.7076101468624834.
Trial 180 finished with value: 0.6206270069291872 and parameters: {'C': 479.3101908233107, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 5.140909448686742, 'chi2_k': 2245}. Best is trial 141 with value: 0.7076101468624834.
Trial 181 finished with value: 0.6984729639519359 and parameters: {'C': 7.222147803677412, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 5.7808046872196295, 'chi2_k': 2132}. Best is trial 141 with value: 0.7076101468624834.
Trial 182 finished with value: 0.6984729639519359 and parameters: {'C': 6.827606863700042, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.648732658127122, 'chi2_k': 2135}. Best is trial 141 with value: 0.7076101468624834.
Trial 183 finished with value: 0.6984729639519359 and parameters: {'C': 6.975156807766974, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 5.842796757947359, 'chi2_k': 2134}. Best is trial 141 with value: 0.7076101468624834.
Trial 184 finished with value: 0.6939618312649911 and parameters: {'C': 5.846745948211512, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.659426147787993, 'chi2_k': 2183}. Best is trial 141 with value: 0.7076101468624834.
Trial 185 finished with value: 0.6476672029418524 and parameters: {'C': 16.64166976015497, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.109956902396939, 'chi2_k': 2212}. Best is trial 141 with value: 0.7076101468624834.
Trial 186 finished with value: 0.656818704164142 and parameters: {'C': 12.200547081222007, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 5.472287609492568, 'chi2_k': 2127}. Best is trial 141 with value: 0.7076101468624834.
Trial 187 finished with value: 0.3978522515044616 and parameters: {'C': 4.573606588483818, 'kernel': 'rbf', 'degree': 4, 'gamma': 'auto', 'coef0': 5.749697490961246, 'chi2_k': 2044}. Best is trial 141 with value: 0.7076101468624834.
Trial 188 finished with value: 0.6800384037401904 and parameters: {'C': 7.3951940977708315, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.289786337032645, 'chi2_k': 1992}. Best is trial 141 with value: 0.7076101468624834.
Trial 189 finished with value: 0.6846948356807512 and parameters: {'C': 10.842933742019948, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.527840319020915, 'chi2_k': 2164}. Best is trial 141 with value: 0.7076101468624834.
Trial 190 finished with value: 0.3261538461538462 and parameters: {'C': 5.358362905331241, 'kernel': 'sigmoid', 'degree': 4, 'gamma': 'scale', 'coef0': 6.755076984259503, 'chi2_k': 2225}. Best is trial 141 with value: 0.7076101468624834.
Trial 191 finished with value: 0.6984729639519359 and parameters: {'C': 6.799729923747028, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 5.874820968610015, 'chi2_k': 2131}. Best is trial 141 with value: 0.7076101468624834.
Trial 192 finished with value: 0.6984729639519359 and parameters: {'C': 7.313452640264697, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 5.783729494353794, 'chi2_k': 2132}. Best is trial 141 with value: 0.7076101468624834.
Trial 193 finished with value: 0.6757720457910212 and parameters: {'C': 3.871546944116608, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.047554925939096, 'chi2_k': 2066}. Best is trial 141 with value: 0.7076101468624834.
Trial 194 finished with value: 0.6798245614035088 and parameters: {'C': 10.62793927530616, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 7.141079918377103, 'chi2_k': 2188}. Best is trial 141 with value: 0.7076101468624834.
Trial 195 finished with value: 0.6984729639519359 and parameters: {'C': 7.328071001601716, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 5.476391942193021, 'chi2_k': 2136}. Best is trial 141 with value: 0.7076101468624834.
Trial 196 finished with value: 0.6432330827067669 and parameters: {'C': 13.418086990452968, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.365431303719874, 'chi2_k': 2073}. Best is trial 141 with value: 0.7076101468624834.
Trial 197 finished with value: 0.6894912427022519 and parameters: {'C': 5.265087528950572, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 4.413605842359699, 'chi2_k': 2157}. Best is trial 141 with value: 0.7076101468624834.
Trial 198 finished with value: 0.6894912427022519 and parameters: {'C': 3.470406216634681, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.243338190860576, 'chi2_k': 2230}. Best is trial 141 with value: 0.7076101468624834.
Trial 199 finished with value: 0.6520903010033445 and parameters: {'C': 17.315389987514543, 'kernel': 'rbf', 'degree': 4, 'gamma': 'scale', 'coef0': 6.603397710274188, 'chi2_k': 2023}. Best is trial 141 with value: 0.7076101468624834.
